County,State,Value,Category Range
Stevens,MN,371.2,106.1 - 380.0 (648)
Butte,SD,371.2,106.1 - 380.0 (648)
Hall,NE,371.3,106.1 - 380.0 (648)
Mercer,ND,371.5,106.1 - 380.0 (648)
New Haven,CT,371.6,106.1 - 380.0 (648)
Latah,ID,371.8,106.1 - 380.0 (648)
Grand,UT,371.8,106.1 - 380.0 (648)
Itasca,MN,371.9,106.1 - 380.0 (648)
Plymouth,MA,372.2,106.1 - 380.0 (648)
Custer,NE,372.2,106.1 - 380.0 (648)
Highland,VA,372.2,106.1 - 380.0 (648)
Wheeler,NE,372.3,106.1 - 380.0 (648)
Columbia,GA,372.4,106.1 - 380.0 (648)
Madison,IA,372.5,106.1 - 380.0 (648)
Chester,PA,372.6,106.1 - 380.0 (648)
Linn,IA,372.7,106.1 - 380.0 (648)
Benton,IA,372.8,106.1 - 380.0 (648)
Marion,OR,372.8,106.1 - 380.0 (648)
Merrimack,NH,372.8,106.1 - 380.0 (648)
Dundy,NE,372.8,106.1 - 380.0 (648)
Iowa,IA,373,106.1 - 380.0 (648)
Sherman,KS,373.1,106.1 - 380.0 (648)
Freeborn,MN,373.1,106.1 - 380.0 (648)
Granville,NC,373.3,106.1 - 380.0 (648)
Golden Valley,ND,373.3,106.1 - 380.0 (648)
Washington,TX,373.3,106.1 - 380.0 (648)
Guadalupe,NM,373.6,106.1 - 380.0 (648)
Winneshiek,IA,373.6,106.1 - 380.0 (648)
St. Lucie,FL,373.6,106.1 - 380.0 (648)
Stark,ND,373.7,106.1 - 380.0 (648)
Custer,CO,373.9,106.1 - 380.0 (648)
Las Animas,CO,374,106.1 - 380.0 (648)
Johnson,IA,374,106.1 - 380.0 (648)
Monroe,NY,374,106.1 - 380.0 (648)
Hampshire,MA,374.1,106.1 - 380.0 (648)
Willacy,TX,374.1,106.1 - 380.0 (648)
Dawson,NE,374.5,106.1 - 380.0 (648)
Valley,NE,374.5,106.1 - 380.0 (648)
Southeast Fairbanks,AK,374.5,106.1 - 380.0 (648)
Monroe,FL,374.5,106.1 - 380.0 (648)
Dolores,CO,374.6,106.1 - 380.0 (648)
Phelps,NE,374.6,106.1 - 380.0 (648)
Saratoga,NY,374.6,106.1 - 380.0 (648)
Saguache,CO,374.7,106.1 - 380.0 (648)
Baker,OR,375,106.1 - 380.0 (648)
Sherman,NE,375.3,106.1 - 380.0 (648)
Skamania,WA,375.3,106.1 - 380.0 (648)
Dawson,MT,375.4,106.1 - 380.0 (648)
Klickitat,WA,375.5,106.1 - 380.0 (648)
Crowley,CO,375.7,106.1 - 380.0 (648)
Lehigh,PA,375.8,106.1 - 380.0 (648)
Spokane,WA,376,106.1 - 380.0 (648)
Rockbridge,VA,376,106.1 - 380.0 (648)
Morrow,OR,376,106.1 - 380.0 (648)
Tompkins,NY,376.1,106.1 - 380.0 (648)
Jerauld,SD,376.1,106.1 - 380.0 (648)
Okanogan,WA,376.2,106.1 - 380.0 (648)
Forsyth,GA,376.2,106.1 - 380.0 (648)
Jackson,NC,376.3,106.1 - 380.0 (648)
Buffalo,NE,376.3,106.1 - 380.0 (648)
Grand Isle,VT,376.3,106.1 - 380.0 (648)
Dodge,MN,376.5,106.1 - 380.0 (648)
Middlesex,NJ,376.5,106.1 - 380.0 (648)
Essex,NY,376.6,106.1 - 380.0 (648)
Dakota,NE,376.7,106.1 - 380.0 (648)
Bent,CO,376.7,106.1 - 380.0 (648)
McLeod,MN,376.8,106.1 - 380.0 (648)
Hood River,OR,376.9,106.1 - 380.0 (648)
Cassia,ID,377,106.1 - 380.0 (648)
Washtenaw,MI,377.1,106.1 - 380.0 (648)
Augusta,VA,377.1,106.1 - 380.0 (648)
Deuel,SD,377.2,106.1 - 380.0 (648)
Jefferson,MT,377.2,106.1 - 380.0 (648)
Josephine,OR,377.2,106.1 - 380.0 (648)
Cheshire,NH,377.4,106.1 - 380.0 (648)
Faribault,MN,377.5,106.1 - 380.0 (648)
Washakie,WY,377.5,106.1 - 380.0 (648)
Stephenson,IL,377.6,106.1 - 380.0 (648)
Yuma,CO,377.7,106.1 - 380.0 (648)
Kewaunee,WI,377.8,106.1 - 380.0 (648)
Benton,WA,377.9,106.1 - 380.0 (648)
Kendall,IL,377.9,106.1 - 380.0 (648)
Pipestone,MN,377.9,106.1 - 380.0 (648)
Southampton,VA,378,106.1 - 380.0 (648)
Kitsap,WA,378,106.1 - 380.0 (648)
Jackson,SD,378.1,106.1 - 380.0 (648)
Gage,NE,378.2,106.1 - 380.0 (648)
Seminole,FL,378.2,106.1 - 380.0 (648)
Ida,IA,378.3,106.1 - 380.0 (648)
Clay,IA,378.3,106.1 - 380.0 (648)
Rock,MN,378.3,106.1 - 380.0 (648)
Worcester,MA,378.3,106.1 - 380.0 (648)
Hidalgo,NM,378.3,106.1 - 380.0 (648)
Lincoln,KS,378.6,106.1 - 380.0 (648)
Yukon-Koyukuk,AK,378.7,106.1 - 380.0 (648)
Jefferson,ID,378.8,106.1 - 380.0 (648)
Charleston,SC,378.8,106.1 - 380.0 (648)
Litchfield,CT,378.9,106.1 - 380.0 (648)
Flathead,MT,378.9,106.1 - 380.0 (648)
Strafford,NH,379,106.1 - 380.0 (648)
Warren,NY,379,106.1 - 380.0 (648)
Alexander,NC,379.2,106.1 - 380.0 (648)
Cascade,MT,379.2,106.1 - 380.0 (648)
Marshall,KS,379.2,106.1 - 380.0 (648)
Culpeper,VA,379.3,106.1 - 380.0 (648)
Saunders,NE,379.6,106.1 - 380.0 (648)
Pend Oreille,WA,379.7,106.1 - 380.0 (648)
Tooele,UT,379.7,106.1 - 380.0 (648)
Northampton,PA,379.8,106.1 - 380.0 (648)
Daggett,UT,379.9,106.1 - 380.0 (648)
Cobb,GA,379.9,106.1 - 380.0 (648)
Alpine,CA,380,106.1 - 380.0 (648)
Polk,NC,380,106.1 - 380.0 (648)
Custer,SD,380,106.1 - 380.0 (648)
Orange,VA,380,106.1 - 380.0 (648)
Shenandoah,VA,380,106.1 - 380.0 (648)
Valencia,NM,380.3,380.1 - 429.0 (639)
McPherson,SD,380.5,380.1 - 429.0 (639)
Lincoln,NE,380.6,380.1 - 429.0 (639)
Frontier,NE,380.8,380.1 - 429.0 (639)
Sioux,NE,380.9,380.1 - 429.0 (639)
Knox,ME,381,380.1 - 429.0 (639)
Denver,CO,381.2,380.1 - 429.0 (639)
Otter Tail,MN,381.3,380.1 - 429.0 (639)
Douglas,OR,381.3,380.1 - 429.0 (639)
Montgomery,PA,381.3,380.1 - 429.0 (639)
Franklin,MA,381.5,380.1 - 429.0 (639)
Stutsman,ND,381.6,380.1 - 429.0 (639)
Grant,NM,381.7,380.1 - 429.0 (639)
Grand Traverse,MI,381.7,380.1 - 429.0 (639)
Dodge,NE,382.1,380.1 - 429.0 (639)
Phillips,MT,382.1,380.1 - 429.0 (639)
Wayne,NY,382.2,380.1 - 429.0 (639)
DeKalb,GA,382.2,380.1 - 429.0 (639)
Goochland,VA,382.5,380.1 - 429.0 (639)
Pierce,WI,382.5,380.1 - 429.0 (639)
Umatilla,OR,382.6,380.1 - 429.0 (639)
Yates,NY,382.7,380.1 - 429.0 (639)
St. Charles,MO,382.7,380.1 - 429.0 (639)
Garfield,WA,382.7,380.1 - 429.0 (639)
Coamo,PR,382.7,380.1 - 429.0 (639)
Seneca,NY,382.8,380.1 - 429.0 (639)
Guilford,NC,382.9,380.1 - 429.0 (639)
Charlton,GA,382.9,380.1 - 429.0 (639)
Clarke,VA,382.9,380.1 - 429.0 (639)
Laramie,WY,383,380.1 - 429.0 (639)
Woodford,IL,383,380.1 - 429.0 (639)
Washington,NE,383.1,380.1 - 429.0 (639)
Thomas,KS,383.2,380.1 - 429.0 (639)
Mason,WA,383.2,380.1 - 429.0 (639)
Centre,PA,383.5,380.1 - 429.0 (639)
Ness,KS,383.6,380.1 - 429.0 (639)
Worth,IA,383.6,380.1 - 429.0 (639)
LaMoure,ND,383.7,380.1 - 429.0 (639)
Ontario,NY,383.8,380.1 - 429.0 (639)
Bristol,MA,383.8,380.1 - 429.0 (639)
O'Brien,IA,383.8,380.1 - 429.0 (639)
Putnam,OH,384.1,380.1 - 429.0 (639)
Dickinson,IA,384.2,380.1 - 429.0 (639)
Weston,WY,384.2,380.1 - 429.0 (639)
Cochise,AZ,384.3,380.1 - 429.0 (639)
Geauga,OH,384.6,380.1 - 429.0 (639)
Grant,MN,384.6,380.1 - 429.0 (639)
Hendricks,IN,384.7,380.1 - 429.0 (639)
Seward,KS,384.9,380.1 - 429.0 (639)
Hampden,MA,384.9,380.1 - 429.0 (639)
Wibaux,MT,385.2,380.1 - 429.0 (639)
Lincoln,WY,385.3,380.1 - 429.0 (639)
Midland,MI,385.4,380.1 - 429.0 (639)
Grand Forks,ND,385.4,380.1 - 429.0 (639)
Union,OR,385.5,380.1 - 429.0 (639)
Logan,ND,385.6,380.1 - 429.0 (639)
Dare,NC,385.6,380.1 - 429.0 (639)
Brookings,SD,385.6,380.1 - 429.0 (639)
Edmunds,SD,385.7,380.1 - 429.0 (639)
Dickey,ND,385.7,380.1 - 429.0 (639)
Douglas,NE,385.8,380.1 - 429.0 (639)
Judith Basin,MT,385.8,380.1 - 429.0 (639)
Forsyth,NC,385.9,380.1 - 429.0 (639)
Boone,MO,386,380.1 - 429.0 (639)
Missoula,MT,386.1,380.1 - 429.0 (639)
Talbot,MD,386.1,380.1 - 429.0 (639)
Fallon,MT,386.2,380.1 - 429.0 (639)
Greenlee,AZ,386.2,380.1 - 429.0 (639)
Warrick,IN,386.4,380.1 - 429.0 (639)
Cedar,IA,386.5,380.1 - 429.0 (639)
Polk,MN,386.5,380.1 - 429.0 (639)
Kent,RI,386.5,380.1 - 429.0 (639)
Faulk,SD,386.6,380.1 - 429.0 (639)
Johnson,KS,386.6,380.1 - 429.0 (639)
Cass,MO,386.7,380.1 - 429.0 (639)
Poweshiek,IA,386.8,380.1 - 429.0 (639)
Spink,SD,386.8,380.1 - 429.0 (639)
Nemaha,KS,387,380.1 - 429.0 (639)
Hall,GA,387.1,380.1 - 429.0 (639)
Clark,ID,387.2,380.1 - 429.0 (639)
Potter,SD,387.2,380.1 - 429.0 (639)
Warren,OH,387.3,380.1 - 429.0 (639)
Big Stone,MN,387.5,380.1 - 429.0 (639)
Bristol,RI,387.5,380.1 - 429.0 (639)
Santa Isabel,PR,387.6,380.1 - 429.0 (639)
Logan,NE,387.6,380.1 - 429.0 (639)
Webb,TX,387.7,380.1 - 429.0 (639)
Chesterfield,VA,387.8,380.1 - 429.0 (639)
Hamilton,NE,388,380.1 - 429.0 (639)
Polk,IA,388,380.1 - 429.0 (639)
Kootenai,ID,388.1,380.1 - 429.0 (639)
Fond du Lac,WI,388.1,380.1 - 429.0 (639)
Moody,SD,388.3,380.1 - 429.0 (639)
Flagler,FL,388.3,380.1 - 429.0 (639)
Cherokee,GA,388.4,380.1 - 429.0 (639)
Stevens,WA,388.4,380.1 - 429.0 (639)
Lincoln,WA,388.5,380.1 - 429.0 (639)
Monmouth,NJ,388.5,380.1 - 429.0 (639)
Caswell,NC,388.7,380.1 - 429.0 (639)
Delaware,IA,388.7,380.1 - 429.0 (639)
McMullen,TX,388.7,380.1 - 429.0 (639)
Prairie,MT,388.8,380.1 - 429.0 (639)
Stanton,NE,388.9,380.1 - 429.0 (639)
Alamosa,CO,389.1,380.1 - 429.0 (639)
Goshen,WY,389.1,380.1 - 429.0 (639)
Hardee,FL,389.3,380.1 - 429.0 (639)
Hancock,IL,389.3,380.1 - 429.0 (639)
Knox,NE,389.3,380.1 - 429.0 (639)
Lake,OR,389.3,380.1 - 429.0 (639)
Lincoln,ME,389.3,380.1 - 429.0 (639)
Marshall,SD,389.4,380.1 - 429.0 (639)
Sweet Grass,MT,389.5,380.1 - 429.0 (639)
Fayette,KY,389.5,380.1 - 429.0 (639)
Miami-Dade,FL,389.5,380.1 - 429.0 (639)
Polk,NE,389.9,380.1 - 429.0 (639)
Bon Homme,SD,390,380.1 - 429.0 (639)
Brown,SD,390.2,380.1 - 429.0 (639)
Addison,VT,390.2,380.1 - 429.0 (639)
Gregory,SD,390.3,380.1 - 429.0 (639)
Outagamie,WI,390.3,380.1 - 429.0 (639)
McLean,IL,390.5,380.1 - 429.0 (639)
Bremer,IA,390.7,380.1 - 429.0 (639)
Wells,ND,390.7,380.1 - 429.0 (639)
Barron,WI,390.7,380.1 - 429.0 (639)
Jefferson,WI,390.8,380.1 - 429.0 (639)
Cherry,NE,390.8,380.1 - 429.0 (639)
Carter,MT,390.8,380.1 - 429.0 (639)
Multnomah,OR,390.9,380.1 - 429.0 (639)
Bonner,ID,391,380.1 - 429.0 (639)
Union,NJ,391.2,380.1 - 429.0 (639)
Kittson,MN,391.2,380.1 - 429.0 (639)
Fairbanks North Star,AK,391.3,380.1 - 429.0 (639)
Jones,IA,391.3,380.1 - 429.0 (639)
Langlade,WI,391.4,380.1 - 429.0 (639)
Minnehaha,SD,391.4,380.1 - 429.0 (639)
Zapata,TX,391.5,380.1 - 429.0 (639)
Keya Paha,NE,391.5,380.1 - 429.0 (639)
Pawnee,NE,391.5,380.1 - 429.0 (639)
Garfield,NE,391.7,380.1 - 429.0 (639)
Hudson,NJ,391.7,380.1 - 429.0 (639)
Morgan,OH,391.7,380.1 - 429.0 (639)
Lake,FL,391.8,380.1 - 429.0 (639)
Beaver,UT,391.9,380.1 - 429.0 (639)
Liberty,MT,392,380.1 - 429.0 (639)
Boone,NE,392,380.1 - 429.0 (639)
Washington,IA,392.1,380.1 - 429.0 (639)
Powhatan,VA,392.1,380.1 - 429.0 (639)
Jasper,SC,392.3,380.1 - 429.0 (639)
Allamakee,IA,392.3,380.1 - 429.0 (639)
Phillips,CO,392.3,380.1 - 429.0 (639)
Wayne,NE,392.3,380.1 - 429.0 (639)
Los Angeles,CA,392.4,380.1 - 429.0 (639)
Hawaii,HI,392.5,380.1 - 429.0 (639)
Highlands,FL,392.6,380.1 - 429.0 (639)
Owyhee,ID,392.7,380.1 - 429.0 (639)
Clearwater,ID,392.8,380.1 - 429.0 (639)
Harney,OR,392.8,380.1 - 429.0 (639)
New Kent,VA,392.8,380.1 - 429.0 (639)
Starr,TX,392.9,380.1 - 429.0 (639)
Clark,WI,393.3,380.1 - 429.0 (639)
Warren,IA,393.3,380.1 - 429.0 (639)
Osceola,IA,393.4,380.1 - 429.0 (639)
Greeley,KS,393.4,380.1 - 429.0 (639)
Menard,IL,393.4,380.1 - 429.0 (639)
Rockwall,TX,393.4,380.1 - 429.0 (639)
Lancaster,PA,393.4,380.1 - 429.0 (639)
Hernando,FL,393.5,380.1 - 429.0 (639)
Harding,NM,393.5,380.1 - 429.0 (639)
Mercer,NJ,393.7,380.1 - 429.0 (639)
Baca,CO,393.8,380.1 - 429.0 (639)
Campbell,SD,393.9,380.1 - 429.0 (639)
Salt Lake,UT,393.9,380.1 - 429.0 (639)
Stanton,KS,394,380.1 - 429.0 (639)
Cedar,NE,394,380.1 - 429.0 (639)
Converse,WY,394.2,380.1 - 429.0 (639)
Grant,KS,394.3,380.1 - 429.0 (639)
Seward,NE,394.4,380.1 - 429.0 (639)
Denali,AK,394.5,380.1 - 429.0 (639)
Rio Grande,CO,394.6,380.1 - 429.0 (639)
Benzie,MI,394.7,380.1 - 429.0 (639)
Windsor,VT,394.7,380.1 - 429.0 (639)
Fremont,CO,394.8,380.1 - 429.0 (639)
Graham,AZ,394.9,380.1 - 429.0 (639)
Ashe,NC,394.9,380.1 - 429.0 (639)
Wasatch,UT,394.9,380.1 - 429.0 (639)
Blaine,NE,395.2,380.1 - 429.0 (639)
Yellowstone,MT,395.3,380.1 - 429.0 (639)
Hayes,NE,395.3,380.1 - 429.0 (639)
Monroe,IL,395.3,380.1 - 429.0 (639)
Madison,VA,395.3,380.1 - 429.0 (639)
McIntosh,ND,395.4,380.1 - 429.0 (639)
Musselshell,MT,395.6,380.1 - 429.0 (639)
Towns,GA,395.6,380.1 - 429.0 (639)
Hamlin,SD,395.6,380.1 - 429.0 (639)
Oglala Lakota,SD,395.8,380.1 - 429.0 (639)
Clay,MO,395.8,380.1 - 429.0 (639)
Lake,MT,395.9,380.1 - 429.0 (639)
Nemaha,NE,395.9,380.1 - 429.0 (639)
Jessamine,KY,395.9,380.1 - 429.0 (639)
Audubon,IA,396,380.1 - 429.0 (639)
Porter,IN,396,380.1 - 429.0 (639)
Crawford,IA,396.1,380.1 - 429.0 (639)
Sargent,ND,396.1,380.1 - 429.0 (639)
Comal,TX,396.1,380.1 - 429.0 (639)
Fremont,IA,396.3,380.1 - 429.0 (639)
Brule,SD,396.4,380.1 - 429.0 (639)
Belknap,NH,396.5,380.1 - 429.0 (639)
Elmore,ID,396.6,380.1 - 429.0 (639)
Putnam,NY,396.9,380.1 - 429.0 (639)
Roanoke,VA,396.9,380.1 - 429.0 (639)
Union,GA,397,380.1 - 429.0 (639)
Clay,NC,397.1,380.1 - 429.0 (639)
Wilkes,NC,397.1,380.1 - 429.0 (639)
Kings,CA,397.2,380.1 - 429.0 (639)
Platte,NE,397.3,380.1 - 429.0 (639)
Wheatland,MT,397.3,380.1 - 429.0 (639)
Trempealeau,WI,397.5,380.1 - 429.0 (639)
Kenedy,TX,397.6,380.1 - 429.0 (639)
Petroleum,MT,397.6,380.1 - 429.0 (639)
Dixon,NE,397.8,380.1 - 429.0 (639)
Sublette,WY,397.8,380.1 - 429.0 (639)
Madison,NE,397.9,380.1 - 429.0 (639)
Macon,NC,398,380.1 - 429.0 (639)
Treasure,MT,398.1,380.1 - 429.0 (639)
Tama,IA,398.1,380.1 - 429.0 (639)
McPherson,NE,398.2,380.1 - 429.0 (639)
Custer,MT,398.3,380.1 - 429.0 (639)
Saline,KS,398.4,380.1 - 429.0 (639)
Asotin,WA,398.5,380.1 - 429.0 (639)
San Saba,TX,398.6,380.1 - 429.0 (639)
Warren,VA,398.7,380.1 - 429.0 (639)
Walworth,WI,398.8,380.1 - 429.0 (639)
Lake,SD,398.8,380.1 - 429.0 (639)
Rockdale,GA,399.2,380.1 - 429.0 (639)
Banner,NE,399.2,380.1 - 429.0 (639)
Burke,ND,399.2,380.1 - 429.0 (639)
Gove,KS,399.3,380.1 - 429.0 (639)
Conejos,CO,399.4,380.1 - 429.0 (639)
Rich,UT,399.4,380.1 - 429.0 (639)
Habersham,GA,399.6,380.1 - 429.0 (639)
Elko,NV,399.6,380.1 - 429.0 (639)
Martin,MN,399.6,380.1 - 429.0 (639)
Allegan,MI,399.7,380.1 - 429.0 (639)
Kiowa,CO,399.7,380.1 - 429.0 (639)
Haines,AK,399.7,380.1 - 429.0 (639)
Juneau,AK,399.7,380.1 - 429.0 (639)
Washington,VT,400,380.1 - 429.0 (639)
Platte,WY,400,380.1 - 429.0 (639)
Bedford,VA,400,380.1 - 429.0 (639)
Hancock,IN,400.1,380.1 - 429.0 (639)
Oneida,ID,400.1,380.1 - 429.0 (639)
Lincoln,WI,400.2,380.1 - 429.0 (639)
Hand,SD,400.3,380.1 - 429.0 (639)
Kalamazoo,MI,400.4,380.1 - 429.0 (639)
Kingsbury,SD,400.5,380.1 - 429.0 (639)
Eau Claire,WI,400.6,380.1 - 429.0 (639)
Grayson,VA,400.6,380.1 - 429.0 (639)
Isle of Wight,VA,400.7,380.1 - 429.0 (639)
Winnebago,IA,400.8,380.1 - 429.0 (639)
Traverse,MN,400.9,380.1 - 429.0 (639)
Rosebud,MT,400.9,380.1 - 429.0 (639)
Palo Alto,IA,401,380.1 - 429.0 (639)
McHenry,IL,401.1,380.1 - 429.0 (639)
Hamilton,NY,401.2,380.1 - 429.0 (639)
Meade,KS,401.4,380.1 - 429.0 (639)
Columbia,WI,401.4,380.1 - 429.0 (639)
Gilchrist,FL,401.5,380.1 - 429.0 (639)
Hancock,ME,401.7,380.1 - 429.0 (639)
Hot Springs,WY,401.7,380.1 - 429.0 (639)
Duchesne,UT,401.7,380.1 - 429.0 (639)
Greenville,SC,401.8,380.1 - 429.0 (639)
Providence,RI,401.8,380.1 - 429.0 (639)
Chippewa,WI,401.9,380.1 - 429.0 (639)
Sagadahoc,ME,401.9,380.1 - 429.0 (639)
Golden Valley,MT,401.9,380.1 - 429.0 (639)
Clatsop,OR,402,380.1 - 429.0 (639)
Windham,CT,402,380.1 - 429.0 (639)
Morgan,WV,402,380.1 - 429.0 (639)
Perkins,NE,402.3,380.1 - 429.0 (639)
Carlton,MN,402.3,380.1 - 429.0 (639)
Columbia,OR,402.4,380.1 - 429.0 (639)
Black Hawk,IA,402.4,380.1 - 429.0 (639)
Boone,IA,402.4,380.1 - 429.0 (639)
Orange,FL,402.5,380.1 - 429.0 (639)
Crook,OR,402.5,380.1 - 429.0 (639)
Mineral,MT,402.5,380.1 - 429.0 (639)
Pike,PA,402.5,380.1 - 429.0 (639)
Clark,SD,402.6,380.1 - 429.0 (639)
Windham,VT,402.6,380.1 - 429.0 (639)
Schoolcraft,MI,402.6,380.1 - 429.0 (639)
Madison,NY,402.7,380.1 - 429.0 (639)
White,GA,402.7,380.1 - 429.0 (639)
Montgomery,VA,402.7,380.1 - 429.0 (639)
Montrose,CO,402.9,380.1 - 429.0 (639)
Jim Hogg,TX,403,380.1 - 429.0 (639)
Boundary,ID,403.1,380.1 - 429.0 (639)
Pierce,NE,403.1,380.1 - 429.0 (639)
Towner,ND,403.1,380.1 - 429.0 (639)
Garfield,MT,403.2,380.1 - 429.0 (639)
Pepin,WI,403.5,380.1 - 429.0 (639)
Juniata,PA,403.7,380.1 - 429.0 (639)
York,PA,403.8,380.1 - 429.0 (639)
Yancey,NC,403.8,380.1 - 429.0 (639)
Passaic,NJ,403.9,380.1 - 429.0 (639)
San Miguel,NM,403.9,380.1 - 429.0 (639)
Union,NC,403.9,380.1 - 429.0 (639)
Berkeley,SC,403.9,380.1 - 429.0 (639)
Lyman,SD,403.9,380.1 - 429.0 (639)
Davis,UT,403.9,380.1 - 429.0 (639)
Val Verde,TX,404,380.1 - 429.0 (639)
Greene,OH,404,380.1 - 429.0 (639)
Brown,IN,404.1,380.1 - 429.0 (639)
Oldham,KY,404.2,380.1 - 429.0 (639)
Penobscot,ME,404.2,380.1 - 429.0 (639)
New Castle,DE,404.3,380.1 - 429.0 (639)
Sutton,TX,404.3,380.1 - 429.0 (639)
Noble,OH,404.4,380.1 - 429.0 (639)
Clayton,IA,404.7,380.1 - 429.0 (639)
Wabaunsee,KS,404.8,380.1 - 429.0 (639)
Dodge,WI,404.9,380.1 - 429.0 (639)
Perkins,SD,405,380.1 - 429.0 (639)
Franklin,VT,405.1,380.1 - 429.0 (639)
Buchanan,IA,405.1,380.1 - 429.0 (639)
Pottawatomie,KS,405.2,380.1 - 429.0 (639)
Cabarrus,NC,405.2,380.1 - 429.0 (639)
Genesee,NY,405.3,380.1 - 429.0 (639)
Reno,KS,405.3,380.1 - 429.0 (639)
Calhoun,IL,405.3,380.1 - 429.0 (639)
Gray,KS,405.5,380.1 - 429.0 (639)
Whitman,WA,405.5,380.1 - 429.0 (639)
Buffalo,WI,405.6,380.1 - 429.0 (639)
Morgan,UT,405.7,380.1 - 429.0 (639)
Stillwater,MT,405.7,380.1 - 429.0 (639)
Washington,ME,405.8,380.1 - 429.0 (639)
Hillsborough,FL,405.8,380.1 - 429.0 (639)
Gloucester,VA,405.8,380.1 - 429.0 (639)
Mifflin,PA,406,380.1 - 429.0 (639)
Pasco,FL,406,380.1 - 429.0 (639)
Franklin,PA,406.2,380.1 - 429.0 (639)
Green Lake,WI,406.2,380.1 - 429.0 (639)
Cumberland,VA,406.3,380.1 - 429.0 (639)
Brazos,TX,406.4,380.1 - 429.0 (639)
Amelia,VA,406.4,380.1 - 429.0 (639)
Rabun,GA,406.4,380.1 - 429.0 (639)
Crawford,WI,406.5,380.1 - 429.0 (639)
Colusa,CA,406.8,380.1 - 429.0 (639)
Leavenworth,KS,406.8,380.1 - 429.0 (639)
Toole,MT,406.8,380.1 - 429.0 (639)
Brunswick,NC,406.9,380.1 - 429.0 (639)
Buena Vista,IA,407,380.1 - 429.0 (639)
Lexington,SC,407,380.1 - 429.0 (639)
McPherson,KS,407.1,380.1 - 429.0 (639)
Washington,NY,407.2,380.1 - 429.0 (639)
Person,NC,407.3,380.1 - 429.0 (639)
Cheyenne,NE,407.3,380.1 - 429.0 (639)
Jo Daviess,IL,407.3,380.1 - 429.0 (639)
Grundy,IA,407.4,380.1 - 429.0 (639)
Kearney,NE,407.4,380.1 - 429.0 (639)
Kendall,TX,407.4,380.1 - 429.0 (639)
Sussex,NJ,407.5,380.1 - 429.0 (639)
Sedgwick,CO,407.5,380.1 - 429.0 (639)
Beadle,SD,407.8,380.1 - 429.0 (639)
Wallowa,OR,407.9,380.1 - 429.0 (639)
Manistee,MI,407.9,380.1 - 429.0 (639)
Griggs,ND,408.2,380.1 - 429.0 (639)
Day,SD,408.2,380.1 - 429.0 (639)
Polk,WI,408.3,380.1 - 429.0 (639)
Bullitt,KY,408.3,380.1 - 429.0 (639)
Davie,NC,408.4,380.1 - 429.0 (639)
Saline,NE,408.5,380.1 - 429.0 (639)
Keith,NE,408.5,380.1 - 429.0 (639)
Deuel,NE,408.5,380.1 - 429.0 (639)
Ferry,WA,408.5,380.1 - 429.0 (639)
Richland,WI,408.6,380.1 - 429.0 (639)
Rutland,VT,408.6,380.1 - 429.0 (639)
Grant,ND,408.6,380.1 - 429.0 (639)
Caldwell,TX,408.8,380.1 - 429.0 (639)
Waldo,ME,409,380.1 - 429.0 (639)
Dubuque,IA,409,380.1 - 429.0 (639)
Burt,NE,409.1,380.1 - 429.0 (639)
Morton,ND,409.1,380.1 - 429.0 (639)
Floyd,VA,409.1,380.1 - 429.0 (639)
Grant,WA,409.2,380.1 - 429.0 (639)
Shelby,AL,409.2,380.1 - 429.0 (639)
Williamson,IL,409.6,380.1 - 429.0 (639)
Shelby,IA,409.6,380.1 - 429.0 (639)
Pierce,WA,409.6,380.1 - 429.0 (639)
Union,NM,409.7,380.1 - 429.0 (639)
Terrell,TX,409.8,380.1 - 429.0 (639)
Mitchell,IA,409.9,380.1 - 429.0 (639)
Piatt,IL,410,380.1 - 429.0 (639)
Ozaukee,WI,410,380.1 - 429.0 (639)
Millard,UT,410.1,380.1 - 429.0 (639)
Buffalo,SD,410.1,380.1 - 429.0 (639)
Amador,CA,410.1,380.1 - 429.0 (639)
Glacier,MT,410.3,380.1 - 429.0 (639)
Washburn,WI,410.3,380.1 - 429.0 (639)
Real,TX,410.4,380.1 - 429.0 (639)
Franklin,VA,410.5,380.1 - 429.0 (639)
Codington,SD,410.6,380.1 - 429.0 (639)
Sac,IA,410.6,380.1 - 429.0 (639)
Twin Falls,ID,410.7,380.1 - 429.0 (639)
Lewis,ID,410.7,380.1 - 429.0 (639)
Kimble,TX,410.8,380.1 - 429.0 (639)
Monroe,PA,410.9,380.1 - 429.0 (639)
Mitchell,KS,410.9,380.1 - 429.0 (639)
Henrico,VA,411,380.1 - 429.0 (639)
Mesa,CO,411.1,380.1 - 429.0 (639)
Atchison,MO,411.3,380.1 - 429.0 (639)
St. Mary's,MD,411.3,380.1 - 429.0 (639)
King and Queen,VA,411.4,380.1 - 429.0 (639)
Adams,WA,411.5,380.1 - 429.0 (639)
Marion,KS,411.6,380.1 - 429.0 (639)
Alleghany,NC,411.7,380.1 - 429.0 (639)
Rock,WI,411.7,380.1 - 429.0 (639)
Kerr,TX,411.7,380.1 - 429.0 (639)
Vernon,WI,411.8,380.1 - 429.0 (639)
Villalba,PR,411.8,380.1 - 429.0 (639)
Dawes,NE,411.8,380.1 - 429.0 (639)
Harvey,KS,411.8,380.1 - 429.0 (639)
Delta,CO,411.8,380.1 - 429.0 (639)
St. Tammany,LA,412.1,380.1 - 429.0 (639)
