County,State,Value,Category Range
Waseca,MN,310.5,106.1 - 380.0 (648)
Santa Cruz,CA,310.6,106.1 - 380.0 (648)
Jeff Davis,TX,310.8,106.1 - 380.0 (648)
Washington,OR,312.6,106.1 - 380.0 (648)
Glades,FL,313.1,106.1 - 380.0 (648)
Alexandria,VA,313.3,106.1 - 380.0 (648)
Park,MT,313.4,106.1 - 380.0 (648)
Steele,MN,313.8,106.1 - 380.0 (648)
Kandiyohi,MN,314.7,106.1 - 380.0 (648)
Scott,KS,314.9,106.1 - 380.0 (648)
Costilla,CO,315.3,106.1 - 380.0 (648)
Daniels,MT,315.3,106.1 - 380.0 (648)
Garfield,UT,315.4,106.1 - 380.0 (648)
Isanti,MN,315.5,106.1 - 380.0 (648)
Prince William,VA,315.7,106.1 - 380.0 (648)
Maricao,PR,315.9,106.1 - 380.0 (648)
Archuleta,CO,316.8,106.1 - 380.0 (648)
Olmsted,MN,317.2,106.1 - 380.0 (648)
Gallatin,MT,317.2,106.1 - 380.0 (648)
King,WA,317.5,106.1 - 380.0 (648)
Coconino,AZ,317.6,106.1 - 380.0 (648)
Las Marias,PR,317.8,106.1 - 380.0 (648)
Pinal,AZ,317.9,106.1 - 380.0 (648)
Nicollet,MN,318.7,106.1 - 380.0 (648)
Fort Bend,TX,318.9,106.1 - 380.0 (648)
Blue Earth,MN,319.1,106.1 - 380.0 (648)
Lane,KS,319.5,106.1 - 380.0 (648)
Garfield,CO,319.6,106.1 - 380.0 (648)
Cumberland,ME,319.9,106.1 - 380.0 (648)
Williamson,TX,320,106.1 - 380.0 (648)
Collin,TX,320.2,106.1 - 380.0 (648)
Chelan,WA,320.3,106.1 - 380.0 (648)
Cass,MN,320.4,106.1 - 380.0 (648)
Sioux,IA,320.6,106.1 - 380.0 (648)
Mono,CA,320.8,106.1 - 380.0 (648)
Waukesha,WI,321.1,106.1 - 380.0 (648)
Dane,WI,321.2,106.1 - 380.0 (648)
Ramsey,MN,321.3,106.1 - 380.0 (648)
Palm Beach,FL,321.4,106.1 - 380.0 (648)
Suffolk,MA,321.7,106.1 - 380.0 (648)
Kalawao,HI,321.9,106.1 - 380.0 (648)
Cheyenne,CO,321.9,106.1 - 380.0 (648)
Park,WY,321.9,106.1 - 380.0 (648)
Finney,KS,322.1,106.1 - 380.0 (648)
Kearny,KS,322.3,106.1 - 380.0 (648)
San Benito,CA,322.4,106.1 - 380.0 (648)
Guayama,PR,322.7,106.1 - 380.0 (648)
Charlotte,FL,323,106.1 - 380.0 (648)
Larimer,CO,323.1,106.1 - 380.0 (648)
Jackson,CO,323.5,106.1 - 380.0 (648)
Rio Blanco,CO,323.6,106.1 - 380.0 (648)
Travis,TX,323.7,106.1 - 380.0 (648)
Stanley,SD,323.9,106.1 - 380.0 (648)
King George,VA,324.4,106.1 - 380.0 (648)
Lafayette,WI,324.7,106.1 - 380.0 (648)
Hamilton,IN,324.8,106.1 - 380.0 (648)
Orange,NC,325,106.1 - 380.0 (648)
Norfolk,MA,325.6,106.1 - 380.0 (648)
Boise,ID,325.8,106.1 - 380.0 (648)
Lee,FL,326.2,106.1 - 380.0 (648)
Dallas,IA,326.2,106.1 - 380.0 (648)
Salinas,PR,326.3,106.1 - 380.0 (648)
Clear Creek,CO,326.4,106.1 - 380.0 (648)
Becker,MN,326.5,106.1 - 380.0 (648)
Maui,HI,326.6,106.1 - 380.0 (648)
Jefferson,WA,326.6,106.1 - 380.0 (648)
Kauai,HI,326.7,106.1 - 380.0 (648)
Broadwater,MT,326.8,106.1 - 380.0 (648)
Alameda,CA,327,106.1 - 380.0 (648)
Cass,ND,328.2,106.1 - 380.0 (648)
Nevada,CA,328.3,106.1 - 380.0 (648)
Meeker,MN,328.4,106.1 - 380.0 (648)
Chittenden,VT,328.4,106.1 - 380.0 (648)
Wichita,KS,328.8,106.1 - 380.0 (648)
Chippewa,MN,329.5,106.1 - 380.0 (648)
Yuma,AZ,329.6,106.1 - 380.0 (648)
Crow Wing,MN,329.7,106.1 - 380.0 (648)
Lajas,PR,329.8,106.1 - 380.0 (648)
La Plata,CO,330,106.1 - 380.0 (648)
Portage,WI,330.1,106.1 - 380.0 (648)
Winnebago,WI,330.2,106.1 - 380.0 (648)
Lemhi,ID,330.2,106.1 - 380.0 (648)
Placer,CA,330.6,106.1 - 380.0 (648)
Chaffee,CO,330.7,106.1 - 380.0 (648)
Ward,ND,330.9,106.1 - 380.0 (648)
McIntosh,GA,331,106.1 - 380.0 (648)
Vega Baja,PR,331,106.1 - 380.0 (648)
Adams,ND,331.1,106.1 - 380.0 (648)
Chisago,MN,331.1,106.1 - 380.0 (648)
Sandoval,NM,331.2,106.1 - 380.0 (648)
St. Johns,FL,331.3,106.1 - 380.0 (648)
Rio Arriba,NM,331.7,106.1 - 380.0 (648)
Lyon,MN,332.1,106.1 - 380.0 (648)
Beltrami,MN,332.4,106.1 - 380.0 (648)
Orocovis,PR,332.4,106.1 - 380.0 (648)
Granite,MT,333,106.1 - 380.0 (648)
Dona Ana,NM,333,106.1 - 380.0 (648)
Hunterdon,NJ,333.3,106.1 - 380.0 (648)
Mills,IA,333.5,106.1 - 380.0 (648)
Marathon,WI,333.6,106.1 - 380.0 (648)
St. Croix,WI,333.7,106.1 - 380.0 (648)
DeSoto,FL,333.8,106.1 - 380.0 (648)
Lincoln,CO,334.2,106.1 - 380.0 (648)
York,ME,335.5,106.1 - 380.0 (648)
Madison,MT,335.6,106.1 - 380.0 (648)
Cache,UT,335.6,106.1 - 380.0 (648)
Jackson,MN,335.7,106.1 - 380.0 (648)
Mower,MN,335.7,106.1 - 380.0 (648)
Sumter,FL,336,106.1 - 380.0 (648)
Contra Costa,CA,336.1,106.1 - 380.0 (648)
Stafford,VA,336.2,106.1 - 380.0 (648)
Lewis and Clark,MT,336.3,106.1 - 380.0 (648)
Gilpin,CO,336.4,106.1 - 380.0 (648)
Transylvania,NC,336.6,106.1 - 380.0 (648)
Ravalli,MT,336.8,106.1 - 380.0 (648)
Manatee,FL,336.8,106.1 - 380.0 (648)
Santa Barbara,CA,337.1,106.1 - 380.0 (648)
